name,price,available,description,photo,merchant_username
Track Pants,5000,20,Run faster sweat less,https://img.etsystatic.com/il/557be1/1397617100/il_570xN.1397617100_hbfj.jpg?version=2,gregg
Pink Head Band,699,20,No more sweat on your brows,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ7hS4Q98DdAFHMLc0KiU70V1w9_-Vj63hfb4HAbSeAF7EhrMO4Og,gregg
Orange Head Band,699,20,No more sweat on your brows,https://images-na.ssl-images-amazon.com/images/I/2105qPRuO3L.jpg,gregg
Rain Jacket,3545,20,It will fight off the rain,https://img.etsystatic.com/il/bc058f/1469960898/il_570xN.1469960898_1l2g.jpg?version=0,tyronn
White Sneakers,6405,20,Protection for all the sweat, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSi0uC5YCQw4wPrSqbF4f_Vy6bj7of4xU2UfcWaFgaBJENIGUSswg,becky
Sweaty Accessory,225,20, reduces sweat from everywhere you put it,http://d3eum8lucccgeh.cloudfront.net/designs/32518/DontSweat_grn.jpg,mark
Purple Leotard,100,20,Move around easier,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR2pcWWgkfWtT9sCk7uJLoiSJXxVNZFZ-BUUGfSkIl75eHj0IFKfA,tyronn
Red Leotard,200,20,Let it shine,https://img.etsystatic.com/il/ba4e45/1088013044/il_570xN.1088013044_iqj2.jpg?version=1,tyronn
Black Tights,90,10,Release the sweat,https://rlv.zcache.co.uk/black_and_white_80s_style_leggings-rfc5f404502bc4d8e96e0024d6923df38_6ftq3_260.jpg?rlvnet=1,gregg
Track Jacket,2700,20,Run faster sweat less, https://www.etsy.com/listing/586314321/vtg-80s-crinkle-nylon-track-jacket-bold?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=80s%20track%20jacket&ref=sr_gallery-1-1,gregg
Spandex,5000,20,Run faster sweat less, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRjePGQzichk23U5SuvA3lfx6bs5Kk1gDIPd0uf_vNRmtrMUnjFvA,gregg
Neon Head Band,699,20,No more sweat on your brows,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTja6mFBrA_bETAZxt7VFuhLQJ6cxblasq5UZikxycFH6hdI3vp,steve
Green Spandex,5000,20,Run faster sweat less, https://images-na.ssl-images-amazon.com/images/I/41oVO%2BPcNuL.jpg,gregg
Leggings,5000,20,Run faster sweat less,https://ih0.redbubble.net/image.413146829.8415/leggings,m,x875,front-bg,f3f3f3.2u3.jpg,gregg
Touquoise Tights,90,10,Release the sweat,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQzwAoa1ivQNHyTTkcQpxAdx6kKfDwouri_Dhx9mIfhZdD77nkT,tyronn
Dry fit Shirt,90,10,Release the sweat,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSQEwKyPTI4qtkNvqj5V4i5fjDTTJ0WpErK6AFZp0Jf9MgBlRKwMg,gregg
Neon Sneakers,6405,20,Protection for all the sweat, https://c2.staticflickr.com/4/3259/2786550775_62cc73ca14_z.jpg?zz=1,becky
Purple Sneakers,6405,20,Protection for all the sweat, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQVlQpQlULhphplRcysE375sKUo8Z6mwCiCeFYYrZ-jmBbrA10QaA,becky
Silk Leotard,200,20,Let it shine,https://cdn-img-1.wanelo.com/p/d32/571/6b5/5e4564e57ff129f747ad555/x354-q80.jpg,tyronn
Head Band,699,20,No more sweat on your brows,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQIO2Fgsx7PxowCtLuzPtRLIR7yIam8ayH97oBYStJBSBbsqNVs,steve
Jazz legs,200,20,Let it shine,https://i.pinimg.com/originals/23/de/e8/23dee8bb0263a8507325f0cdbd8b37f9.jpg,tyronn
